Text,Intent
shut down the gateway application,stop_app
turn on gateway app,start_app
increase user service to 4 replicas,scale_app
is payments app running?,check_status
terminate orders app,stop_app
increase shipping service to 3 replicas,scale_app
grow orders app count to 6,scale_app
is auth app running?,check_status
status of the logging app,check_status
what is the status of user app?,check_status
fire up auth app,start_app
increase logging service to 4 replicas,scale_app
halt user application,stop_app
shut down the payments application,stop_app
is logging app still running?,check_status
restart the billing app,restart_app
see environment settings of billing-service,get_env_vars
halt payments application,stop_app
shut down the cart application,stop_app
start the cart app,start_app
bring up payments-service,start_app
reinitialize the gateway app,restart_app
start the orders app,start_app
grow orders app count to 5,scale_app
turn on shipping app,start_app
increase billing service to 5 replicas,scale_app
confirm if logging-service is working,check_status
get environment variables for billing app,get_env_vars
scale auth app to 4 instances,scale_app
turn on gateway app,start_app
grow shipping app count to 5,scale_app
what is the status of inventory app?,check_status
activate user-app,start_app
what is the status of auth app?,check_status
reduce cart-service to 3 instance,scale_app
stop the logging app,stop_app
give me env vars of shipping app,get_env_vars
kill the cart service,stop_app
show env of user-service,get_env_vars
bring up gateway-service,start_app
resize billing app to 5,scale_app
reload shipping service,restart_app
status of the cart app,check_status
halt auth application,stop_app
boot up the logging service,start_app
see environment settings of logging-service,get_env_vars
is cart-service alive?,check_status
bounce billing-service,restart_app
reboot the gateway application,restart_app
start the logging app,start_app
return env of payments app,get_env_vars
launch the cart application,start_app
please stop user service,stop_app
is payments-service alive?,check_status
get environment variables for auth app,get_env_vars
status of the billing app,check_status
restart cart-app now,restart_app
fire up cart app,start_app
dump env of payments service,get_env_vars
reinitialize the user app,restart_app
restart the user app,restart_app
give me env vars of cart app,get_env_vars
dump env of inventory service,get_env_vars
scale logging app to 6 instances,scale_app
cycle the gateway app,restart_app
is user app still running?,check_status
halt payments application,stop_app
please stop payments service,stop_app
increase shipping service to 7 replicas,scale_app
fetch environment for inventory-application,get_env_vars
reload payments service,restart_app
expand gateway-service instances to 6,scale_app
is inventory app running?,check_status
please restart gateway service,restart_app
is shipping app running?,check_status
adjust logging-service scale to 4,scale_app
status of the gateway app,check_status
expand user-service instances to 1,scale_app
reload payments service,restart_app
health check for orders service,check_status
grow logging app count to 5,scale_app
stop running user service,stop_app
halt cart application,stop_app
activate billing-app,start_app
run the payments application,start_app
status of the shipping app,check_status
disable cart app,stop_app
disable orders app,stop_app
terminate orders app,stop_app
bring down gateway-service,stop_app
restart auth-app now,restart_app
launch the gateway application,start_app
scale logging service up to 5,scale_app
cycle the auth app,restart_app
grow logging app count to 6,scale_app
tell me if orders app is online,check_status
launch the user application,start_app
tell me if shipping app is online,check_status
reinitialize the inventory app,restart_app
power off orders-app,stop_app
please start shipping service,start_app
reload shipping service,restart_app
is orders app still running?,check_status
bring payments service down and up,restart_app
bring orders service down and up,restart_app
show env of billing-service,get_env_vars
print environment vars for cart app,get_env_vars
activate orders-app,start_app
fetch environment for gateway-application,get_env_vars
please stop billing service,stop_app
reload auth service,restart_app
dump env of cart service,get_env_vars
check if orders service is up,check_status
tell me if billing app is online,check_status
reset the billing application,restart_app
activate payments-app,start_app
disable inventory app,stop_app
reset the logging application,restart_app
is cart-service alive?,check_status
scale billing service up to 6,scale_app
fetch environment for billing-application,get_env_vars
adjust payments-service scale to 7,scale_app
list environment values for logging-service,get_env_vars
display config of orders app,get_env_vars
please restart inventory service,restart_app
reduce inventory-service to 6 instance,scale_app
stop running logging service,stop_app
cycle the inventory app,restart_app
disable payments app,stop_app
is payments app running?,check_status
cycle the auth app,restart_app
set payments app to 8 instances,scale_app
verify if payments service is active,check_status
activate payments-app,start_app
shrink user replicas to 9,scale_app
grow shipping app count to 4,scale_app
verify if auth service is active,check_status
reload payments service,restart_app
is inventory app running?,check_status
adjust user-service scale to 8,scale_app
power off auth-app,stop_app
is shipping app still running?,check_status
disable shipping app,stop_app
kill the orders service,stop_app
set payments app to 6 instances,scale_app
give me env vars of payments app,get_env_vars
activate auth-app,start_app
halt logging application,stop_app
shut down the shipping application,stop_app
restart payments-app now,restart_app
is billing-service alive?,check_status
please restart auth service,restart_app
turn on orders app,start_app
terminate user app,stop_app
health check for payments service,check_status
shut down the cart application,stop_app
confirm if billing-service is working,check_status
increase cart service to 2 replicas,scale_app
confirm if cart-service is working,check_status
check if shipping service is up,check_status
expand cart-service instances to 5,scale_app
bring up orders-service,start_app
bring up logging-service,start_app
tell me if gateway app is online,check_status
reload user service,restart_app
expand inventory-service instances to 3,scale_app
bring up cart-service,start_app
reinitialize the gateway app,restart_app
resize payments app to 3,scale_app
is shipping app still running?,check_status
give me env vars of cart app,get_env_vars
get environment variables for orders app,get_env_vars
resize auth app to 6,scale_app
bring down shipping-service,stop_app
reinitialize the user app,restart_app
scale payments service up to 3,scale_app
halt inventory application,stop_app
shut down the gateway application,stop_app
kill the auth service,stop_app
check if logging service is up,check_status
check if orders service is up,check_status
verify if cart service is active,check_status
grow inventory app count to 5,scale_app
scale billing service up to 5,scale_app
set inventory app to 6 instances,scale_app
is inventory app running?,check_status
check if shipping service is up,check_status
scale billing service up to 9,scale_app
expand payments-service instances to 8,scale_app
reinitialize the gateway app,restart_app
launch the auth application,start_app
cycle the payments app,restart_app
shut down the payments application,stop_app
bring inventory service down and up,restart_app
increase orders service to 2 replicas,scale_app
shrink payments replicas to 7,scale_app
scale payments service up to 5,scale_app
restart the auth app,restart_app
bring down user-service,stop_app
what is the status of auth app?,check_status
grow billing app count to 3,scale_app
turn on payments app,start_app
bounce gateway-service,restart_app
is orders app still running?,check_status
tell me if payments app is online,check_status
run the orders application,start_app
see environment settings of inventory-service,get_env_vars
reinitialize the payments app,restart_app
fire up orders app,start_app
disable inventory app,stop_app
print environment vars for auth app,get_env_vars
restart the logging app,restart_app
reinitialize the gateway app,restart_app
is billing app running?,check_status
reload inventory service,restart_app
shrink cart replicas to 1,scale_app
reset the user application,restart_app
get environment variables for auth app,get_env_vars
run the billing application,start_app
expand shipping-service instances to 2,scale_app
restart inventory-app now,restart_app
give me env vars of payments app,get_env_vars
shut down the auth application,stop_app
get environment variables for shipping app,get_env_vars
print environment vars for auth app,get_env_vars
run the payments application,start_app
restart user-app now,restart_app
turn on inventory app,start_app
set payments app to 7 instances,scale_app
shrink cart replicas to 9,scale_app
health check for logging service,check_status
disable cart app,stop_app
scale orders service up to 5,scale_app
activate logging-app,start_app
display config of orders app,get_env_vars
return env of billing app,get_env_vars
please start orders service,start_app
run the gateway application,start_app
print environment vars for user app,get_env_vars
reinitialize the orders app,restart_app
please start payments service,start_app
fire up billing app,start_app
verify if shipping service is active,check_status
display config of payments app,get_env_vars
confirm if auth-service is working,check_status
return env of gateway app,get_env_vars
run the billing application,start_app
power off billing-app,stop_app
cycle the cart app,restart_app
see environment settings of cart-service,get_env_vars
boot up the billing service,start_app
please restart auth service,restart_app
please stop cart service,stop_app
fire up payments app,start_app
set billing app to 1 instances,scale_app
bring down user-service,stop_app
stop the logging app,stop_app
please stop user service,stop_app
display config of payments app,get_env_vars
list environment values for logging-service,get_env_vars
bring up user-service,start_app
adjust auth-service scale to 5,scale_app
expand auth-service instances to 4,scale_app
bring down inventory-service,stop_app
fetch environment for user-application,get_env_vars
is auth app still running?,check_status
scale inventory service up to 1,scale_app
turn on gateway app,start_app
tell me if inventory app is online,check_status
reboot the shipping application,restart_app
resize inventory app to 1,scale_app
reinitialize the billing app,restart_app
kill the gateway service,stop_app
restart the payments app,restart_app
start the shipping app,start_app
fetch environment for inventory-application,get_env_vars
please stop cart service,stop_app
activate inventory-app,start_app
set orders app to 9 instances,scale_app
bring orders service down and up,restart_app
restart the logging app,restart_app
increase user service to 7 replicas,scale_app
tell me if shipping app is online,check_status
please stop shipping service,stop_app
restart the logging app,restart_app
status of the billing app,check_status
what is the status of logging app?,check_status
status of the logging app,check_status
scale inventory app to 7 instances,scale_app
restart payments-app now,restart_app
restart the logging app,restart_app
bounce inventory-service,restart_app
scale gateway app to 8 instances,scale_app
list environment values for payments-service,get_env_vars
stop running user service,stop_app
health check for logging service,check_status
increase billing service to 9 replicas,scale_app
scale gateway app to 1 instances,scale_app
disable user app,stop_app
reset the orders application,restart_app
bring inventory service down and up,restart_app
start the logging app,start_app
status of the shipping app,check_status
display config of auth app,get_env_vars
show env of payments-service,get_env_vars
reboot the shipping application,restart_app
is gateway-service alive?,check_status
bring down billing-service,stop_app
boot up the cart service,start_app
shut down the shipping application,stop_app
status of the billing app,check_status
resize payments app to 10,scale_app
restart logging-app now,restart_app
reboot the payments application,restart_app
reboot the user application,restart_app
is inventory-service alive?,check_status
shut down the cart application,stop_app
get cart service running,start_app
expand logging-service instances to 4,scale_app
display config of auth app,get_env_vars
reinitialize the cart app,restart_app
dump env of gateway service,get_env_vars
adjust user-service scale to 4,scale_app
please restart gateway service,restart_app
bring auth service down and up,restart_app
cycle the auth app,restart_app
expand orders-service instances to 1,scale_app
launch the gateway application,start_app
shut down the cart application,stop_app
halt user application,stop_app
reset the user application,restart_app
reset the auth application,restart_app
confirm if billing-service is working,check_status
what is the status of orders app?,check_status
kill the gateway service,stop_app
see environment settings of billing-service,get_env_vars
disable orders app,stop_app
activate billing-app,start_app
show env of user-service,get_env_vars
power off orders-app,stop_app
bring up orders-service,start_app
dump env of inventory service,get_env_vars
get orders service running,start_app
show env of inventory-service,get_env_vars
dump env of billing service,get_env_vars
get environment variables for gateway app,get_env_vars
bring down auth-service,stop_app
turn on auth app,start_app
terminate orders app,stop_app
terminate gateway app,stop_app
fetch environment for logging-application,get_env_vars
scale user app to 7 instances,scale_app
confirm if logging-service is working,check_status
please start shipping service,start_app
fire up payments app,start_app
stop running gateway service,stop_app
start the shipping app,start_app
restart payments-app now,restart_app
adjust auth-service scale to 5,scale_app
cycle the shipping app,restart_app
terminate payments app,stop_app
shut down the inventory application,stop_app
reduce auth-service to 10 instance,scale_app
reinitialize the cart app,restart_app
fire up orders app,start_app
reboot the billing application,restart_app
terminate billing app,stop_app
halt user application,stop_app
check if billing service is up,check_status
halt user application,stop_app
get payments service running,start_app
list environment values for orders-service,get_env_vars
get environment variables for auth app,get_env_vars
cycle the logging app,restart_app
health check for logging service,check_status
give me env vars of shipping app,get_env_vars
get logging service running,start_app
start the gateway app,start_app
return env of auth app,get_env_vars
bring logging service down and up,restart_app
increase billing service to 7 replicas,scale_app
what is the status of billing app?,check_status
shut down the user application,stop_app
bring gateway service down and up,restart_app
print environment vars for shipping app,get_env_vars
stop the user app,stop_app
reboot the payments application,restart_app
please restart cart service,restart_app
please stop cart service,stop_app
activate auth-app,start_app
terminate gateway app,stop_app
bring up payments-service,start_app
reduce orders-service to 3 instance,scale_app
list environment values for cart-service,get_env_vars
reduce payments-service to 8 instance,scale_app
adjust orders-service scale to 10,scale_app
stop running logging service,stop_app
stop running logging service,stop_app
adjust shipping-service scale to 3,scale_app
scale user app to 10 instances,scale_app
launch the payments application,start_app
list environment values for payments-service,get_env_vars
list environment values for gateway-service,get_env_vars
turn on cart app,start_app
reset the auth application,restart_app
restart the user app,restart_app
boot up the cart service,start_app
show env of payments-service,get_env_vars
return env of auth app,get_env_vars
please restart user service,restart_app
confirm if orders-service is working,check_status
display config of auth app,get_env_vars
is gateway app running?,check_status
stop running shipping service,stop_app
reduce payments-service to 10 instance,scale_app
bounce billing-service,restart_app
terminate auth app,stop_app
bring up billing-service,start_app
terminate shipping app,stop_app
restart gateway-app now,restart_app
terminate inventory app,stop_app
show env of shipping-service,get_env_vars
expand payments-service instances to 4,scale_app
reduce user-service to 3 instance,scale_app
stop the shipping app,stop_app
bring orders service down and up,restart_app
activate auth-app,start_app
restart the inventory app,restart_app
run the user application,start_app
shut down the billing application,stop_app
check if logging service is up,check_status
activate orders-app,start_app
turn on auth app,start_app
dump env of shipping service,get_env_vars
grow auth app count to 5,scale_app
return env of shipping app,get_env_vars
power off logging-app,stop_app
launch the inventory application,start_app
disable auth app,stop_app
please start billing service,start_app
terminate user app,stop_app
adjust auth-service scale to 4,scale_app
terminate payments app,stop_app
boot up the cart service,start_app
reload orders service,restart_app
is payments app running?,check_status
adjust inventory-service scale to 10,scale_app
get inventory service running,start_app
restart gateway-app now,restart_app
print environment vars for user app,get_env_vars
scale inventory service up to 1,scale_app
bounce payments-service,restart_app
resize user app to 7,scale_app
get environment variables for auth app,get_env_vars
stop the billing app,stop_app
kill the inventory service,stop_app
health check for auth service,check_status
health check for auth service,check_status
restart shipping-app now,restart_app
reduce payments-service to 3 instance,scale_app
get billing service running,start_app
disable billing app,stop_app
power off orders-app,stop_app
terminate auth app,stop_app
list environment values for billing-service,get_env_vars
shut down the billing application,stop_app
reinitialize the auth app,restart_app
expand user-service instances to 10,scale_app
bring down inventory-service,stop_app
check if inventory service is up,check_status
list environment values for user-service,get_env_vars
scale orders service up to 2,scale_app
restart the cart app,restart_app
turn on orders app,start_app
show env of shipping-service,get_env_vars
tell me if billing app is online,check_status
run the orders application,start_app
see environment settings of logging-service,get_env_vars
stop running gateway service,stop_app
is gateway-service alive?,check_status
is orders-service alive?,check_status
stop the auth app,stop_app
scale billing service up to 7,scale_app
halt user application,stop_app
turn on cart app,start_app
activate inventory-app,start_app
stop the gateway app,stop_app
terminate logging app,stop_app
stop running gateway service,stop_app
tell me if auth app is online,check_status
show env of logging-service,get_env_vars
display config of shipping app,get_env_vars
list environment values for cart-service,get_env_vars
bring down shipping-service,stop_app
kill the inventory service,stop_app
display config of payments app,get_env_vars
bring billing service down and up,restart_app
reduce payments-service to 5 instance,scale_app
activate payments-app,start_app
restart the inventory app,restart_app
increase orders service to 9 replicas,scale_app
grow gateway app count to 9,scale_app
run the shipping application,start_app
is auth app still running?,check_status
reinitialize the payments app,restart_app
print environment vars for orders app,get_env_vars
shut down the billing application,stop_app
is logging app still running?,check_status
shrink shipping replicas to 9,scale_app
confirm if payments-service is working,check_status
start the billing app,start_app
get logging service running,start_app
dump env of inventory service,get_env_vars
get shipping service running,start_app
is logging-service alive?,check_status
expand shipping-service instances to 8,scale_app
resize billing app to 5,scale_app
print environment vars for shipping app,get_env_vars
shrink payments replicas to 7,scale_app
status of the cart app,check_status
activate auth-app,start_app
stop the auth app,stop_app
list environment values for auth-service,get_env_vars
dump env of orders service,get_env_vars
reboot the orders application,restart_app
scale gateway app to 9 instances,scale_app
kill the payments service,stop_app
is logging app still running?,check_status
restart the payments app,restart_app
scale gateway service up to 3,scale_app
bring orders service down and up,restart_app
shrink billing replicas to 9,scale_app
adjust orders-service scale to 2,scale_app
launch the billing application,start_app
bring up payments-service,start_app
show env of user-service,get_env_vars
fetch environment for logging-application,get_env_vars
set logging app to 9 instances,scale_app
verify if billing service is active,check_status
reboot the payments application,restart_app
increase inventory service to 10 replicas,scale_app
confirm if shipping-service is working,check_status
what is the status of billing app?,check_status
please start payments service,start_app
turn on logging app,start_app
list environment values for auth-service,get_env_vars
print environment vars for auth app,get_env_vars
please restart shipping service,restart_app
what is the status of inventory app?,check_status
